input,tsn_species,tsn_genus,tsn_family,tsn_order,tsn_class,tsn_phylum,tsn_kingdom,species,genus,family,order,class,phylum,kingdom,log
Ajuga reptans,32454,32451,32251,31632,18063,846496,202422,reptans,Ajuga,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Anthriscus sylvestris,29588,29585,500042,500017,18063,846496,202422,sylvestris,Anthriscus,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Bellis perennis,36826,36825,35420,35419,18063,846496,202422,perennis,Bellis,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Brassica napus,23060,23054,22669,822943,18063,846496,202422,napus,Brassica,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,Species found
Capsella bursa-pastoris,22766,22765,22669,822943,18063,846496,202422,bursa-pastoris,Capsella,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,Species found
Cerastium fontanum,19954,19943,19942,19520,18063,846496,202422,fontanum,Cerastium,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Species found
Chaerophyllum temulum,29618,29614,500042,500017,18063,846496,202422,temulum,Chaerophyllum,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Cirsium arvense,36335,36334,35420,35419,18063,846496,202422,arvense,Cirsium,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Cirsium vulgare,36428,36334,35420,35419,18063,846496,202422,vulgare,Cirsium,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Convolvulaceae,0,0,30648,500033,18063,846496,202422,,,Convolvulaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,Family found
Cornus sanguinea,501636,27798,27796,27788,18063,846496,202422,sanguinea,Cornus,Cornaceae,Cornales,Magnoliopsida,Tracheophyta,Plantae,Species found
Crataegus monogyna,24586,24539,24538,24057,18063,846496,202422,monogyna,Crataegus,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Species found
Galium aparine,34797,34796,34784,29910,18063,846496,202422,aparine,Galium,Rubiaceae,Gentianales,Magnoliopsida,Tracheophyta,Plantae,Species found
Geranium robertianum,29119,29104,29103,29060,18063,846496,202422,robertianum,Geranium,Geraniaceae,Geraniales,Magnoliopsida,Tracheophyta,Plantae,Species found
Heracleum sphondylium,29671,29669,500042,500017,18063,846496,202422,sphondylium,Heracleum,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Lamiastrum galeobdolon,515591,32537,32251,31632,18063,846496,202422,galeobdolon,Lamium,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Lamium album,32538,32537,32251,31632,18063,846496,202422,album,Lamium,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Lapsana communis,37830,37828,35420,35419,18063,846496,202422,communis,Lapsana,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Leontodon autumnalis,37883,37882,35420,35419,18063,846496,202422,autumnalis,Leontodon,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Ligustrum vulgare,32980,32973,32927,31632,18063,846496,202422,vulgare,Ligustrum,Oleaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Matricaria recutita,780435,38073,35420,35419,18063,846496,202422,chamomilla,Matricaria,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Medicago sativa,183623,183622,500059,500022,18063,846496,202422,sativa,Medicago,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Species found
Mentha arvensis,565302,32264,32251,31632,18063,846496,202422,arvensis,Mentha,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Myosotis arvensis,31692,31687,31633,846605,18063,846496,202422,arvensis,Myosotis,Boraginaceae,Boraginales,Magnoliopsida,Tracheophyta,Plantae,Species found
Papaver sp ,0,18881,18880,18409,18063,846496,202422,,Papaver,Papaveraceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Prunus spinosa,24802,24762,24538,24057,18063,846496,202422,spinosa,Prunus,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Species found
Ranunculus acris,18583,18558,18410,18409,18063,846496,202422,acris,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,Species found
Ranunculus repens,18642,18558,18410,18409,18063,846496,202422,repens,Ranunculus,Ranunculaceae,Ranunculales,Magnoliopsida,Tracheophyta,Plantae,Species found
Rosa sp ,0,24807,24538,24057,18063,846496,202422,,Rosa,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Rubus fruticosus,837315,24848,24538,24057,18063,846496,202422,plicatus,Rubus,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Species found
Senecio jacobaea,780394,780104,35420,35419,18063,846496,202422,vulgaris,Jacobaea,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Silene dioica,20064,20040,19942,19520,18063,846496,202422,dioica,Silene,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Species found
Sinapis arvensis,23310,23308,22669,822943,18063,846496,202422,arvensis,Sinapis,Brassicaceae,Brassicales,Magnoliopsida,Tracheophyta,Plantae,Species found
Sonchus asper/oleraceus,0,38420,35420,35419,18063,846496,202422,,Sonchus,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Spergula arvensis,505306,20364,19942,19520,18063,846496,202422,arvensis,Spergula,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Species found
Stachys sylvatica,32322,32310,32251,31632,18063,846496,202422,sylvatica,Stachys,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Stellaria graminea,20181,20163,19942,19520,18063,846496,202422,graminea,Stellaria,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Species found
Torilis japonica,29895,29893,500042,500017,18063,846496,202422,japonica,Torilis,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Trifolium pratense/repens,0,26204,500059,500022,18063,846496,202422,,Trifolium,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Veronica persica,33405,33396,32869,31632,18063,846496,202422,persica,Veronica,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Viburnum lanatum,0,35249,35346,35247,18063,846496,202422,,Viburnum,Adoxaceae,Dipsacales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Vicia hirsute,0,26329,500059,500022,18063,846496,202422,,Vicia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Vicia sativa,26355,26329,500059,500022,18063,846496,202422,sativa,Vicia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Species found
Vicia sepium,26357,26329,500059,500022,18063,846496,202422,sepium,Vicia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Species found
Triticosecale,0,781315,40351,846620,18063,846496,202422,,Triticosecale,Poaceae,Poales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Aphanes arvensis,184592,184591,24538,24057,18063,846496,202422,arvensis,Aphanes,Rosaceae,Rosales,Magnoliopsida,Tracheophyta,Plantae,Species found
Avena sativa,41459,41455,40351,846620,18063,846496,202422,sativa,Avena,Poaceae,Poales,Magnoliopsida,Tracheophyta,Plantae,Species found
Corylus avellana,501642,19505,19465,19273,18063,846496,202422,avellana,Corylus,Betulaceae,Fagales,Magnoliopsida,Tracheophyta,Plantae,Species found
Matricaria discoidea,501470,38073,35420,35419,18063,846496,202422,discoidea,Matricaria,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Species found
Plantago sp ,0,32870,32869,31632,18063,846496,202422,,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Poaceae,0,0,40351,846620,18063,846496,202422,,,Poaceae,Poales,Magnoliopsida,Tracheophyta,Plantae,Family found
Rumex sp ,0,20933,20842,19520,18063,846496,202422,,Rumex,Polygonaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Scrophularia auriculata,507163,34030,33005,31632,18063,846496,202422,auriculata,Scrophularia,Scrophulariaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Species found
Triticum aestivum,42237,42236,40351,846620,18063,846496,202422,aestivum,Triticum,Poaceae,Poales,Magnoliopsida,Tracheophyta,Plantae,Species found
