input,tsn_species,tsn_genus,tsn_family,tsn_order,tsn_class,tsn_phylum,tsn_kingdom,species,genus,family,order,class,phylum,kingdom,log
Mytilus californianus,79455,79452,79451,79450,79118,69458,202423,californianus,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Animalia,Species found
Mytilus trossulus,567928,79452,79451,79450,79118,69458,202423,trossulus,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Animalia,Species found
Pollicipes,0,89475,621218,621153,621145,82696,202423,,Pollicipes,Pollicipedidae,Pedunculata,Maxillopoda,Arthropoda,Animalia,Genus found
Semibalanus cariosus,89688,89686,89681,621154,621145,82696,202423,cariosus,Semibalanus,Archaeobalanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,Species found
Balanus glandula,89609,89600,89599,621154,621145,82696,202423,glandula,Balanus,Balanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,Species found
Halosaccion,0,12824,12750,12718,846511,660046,202422,,Halosaccion,Rhodymeniaceae,Rhodymeniales,Florideophyceae,Rhodophyta,Plantae,Genus found
Mastocarpus,0,0,0,0,0,0,0,,Mastocarpus,Petrocelidaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,From EOL
Corallina vancouvriensis,0,12322,12303,660049,846511,660046,202422,,Corallina,Corallinaceae,Corallinales,Florideophyceae,Rhodophyta,Plantae,Genus found
Endocladia,0,12286,12285,11868,846511,660046,202422,,Endocladia,Endocladiaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,Genus found
Ulva,0,6559,6501,9331,846521,5414,202422,,Ulva,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta,Plantae,Genus found
Porphyra,0,11540,11530,11490,846509,660046,202422,,Porphyra,Bangiaceae,Bangiales,Bangiophyceae,Rhodophyta,Plantae,Genus found
Petrocelis Ralfsia,0,11883,11869,11868,846511,660046,202422,,Petrocelis,Cruoriaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,Genus found
Acrosiphonia,0,6721,6720,6409,846521,5414,202422,,Acrosiphonia,Acrosiphoniaceae,Ulotrichales,Ulvophyceae,Chlorophyta,Plantae,Genus found
Diatoms,0,0,0,0,0,0,0,,,,,Bacillariophyceae,Heterokontophyta,Chromista,From EOL
Fucus,0,11334,11329,11328,10686,660055,630578,,Fucus,Fucaceae,Fucales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Microcladia,0,13080,12883,12882,846511,660046,202422,,Microcladia,Ceramiaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,Genus found
Halichondria Haliclona,0,48394,48391,48328,47528,46861,202423,,Halichondria,Halichondriidae,Halichondrida,Demospongiae,Porifera,Animalia,Genus found
Hedophyllum,0,11254,11216,11211,10686,660055,630578,,Hedophyllum,Laminariaceae,Laminariales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Anthopleura,0,52551,52541,52485,51938,48738,202423,,Anthopleura,Actiniidae,Actiniaria,Anthozoa,Cnidaria,Animalia,Genus found
Iridea,0,0,0,0,0,0,0,,Iridea,Desmarestiaceae,Desmarestiales,Phaeophyceae,Heterokontophyta,Chromista,From EOL
Balanus nubilus,656266,89600,89599,621154,621145,82696,202423,nubilus,Balanus,Balanidae,Sessilia,Maxillopoda,Arthropoda,Animalia,Species found
Chthamalus,0,89591,89590,621154,621145,82696,202423,,Chthamalus,Chthamalidae,Sessilia,Maxillopoda,Arthropoda,Animalia,Genus found
Leathesia,0,10960,10950,10687,10686,660055,630578,,Leathesia,Corynophlaeaceae,Ectocarpales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Polysiphonia,0,13440,13439,12882,846511,660046,202422,,Polysiphonia,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,Genus found
Entodesma saxicola,81911,81910,81909,566855,79118,69458,202423,saxicola,Entodesma,Lyonsiidae,Pholadomyoida,Bivalvia,Mollusca,Animalia,Species found
Neorhodomela,0,0,0,0,0,0,0,,Neorhodomela,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,From EOL
Prionitis,0,12591,12557,846565,846511,660046,202422,,Prionitis,Cryptonemiaceae,Halymeniales,Florideophyceae,Rhodophyta,Plantae,Genus found
Laminaria,0,11217,11216,11211,10686,660055,630578,,Laminaria,Laminariaceae,Laminariales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Alaria,0,11289,11288,11211,10686,660055,630578,,Alaria,Alariaceae,Laminariales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Costaria,0,11249,11216,11211,10686,660055,630578,,Costaria,Laminariaceae,Laminariales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Petalonia,0,11431,11423,11422,10686,660055,630578,,Petalonia,Scytosiphonaceae,Scytosiphonales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Callithamnion,0,12928,12883,12882,846511,660046,202422,,Callithamnion,Ceramiaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,Genus found
Scytosiphon,0,11434,11423,11422,10686,660055,630578,,Scytosiphon,Scytosiphonaceae,Scytosiphonales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Serpulid,0,0,0,0,0,0,0,,,Serpulidae,Canalipalpata,Polychaeta,Annelida,Animalia,From EOL
Cumagloia andersonii,11700,11699,11681,11586,846511,660046,202422,andersonii,Cumagloia,Helminthocladiaceae,Nemaliales,Florideophyceae,Rhodophyta,Plantae,Species found
Articulated corralines,0,0,0,0,0,0,0,,,,Corallinales,Florideophyceae,Rhodophyta,Plantae,From EOL
Phyllospadix,0,39070,39069,38883,18063,846496,202422,,Phyllospadix,Zosteraceae,Alismatales,Magnoliopsida,Tracheophyta,Plantae,Genus found
Eudistylia,0,68109,68076,555669,914195,64357,202423,,Eudistylia,Sabellidae,Canalipalpata,Sedentaria,Annelida,Animalia,Genus found
Postelsia,0,11279,11268,11211,10686,660055,630578,,Postelsia,Lessoniaceae,Laminariales,Phaeophyceae,Phaeophyta,Chromista,Genus found
Analipus japonicus,0,0,0,0,0,0,0,japonicus,Analipus,Ralfsiaceae,Ralfsiales,Phaeophyceae,Ochrophyta,Chromista,From EOL
Enteromorpha,0,6515,6501,9331,846521,5414,202422,,Enteromorpha,Ulvaceae,Ulvales,Ulvophyceae,Chlorophyta,Plantae,Genus found
Nucella ostrina emarginata,0,73292,73236,73228,69459,69458,202423,,Nucella,Muricidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Nucella canalicalata,0,73292,73236,73228,69459,69458,202423,,Nucella,Muricidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Nucella lamellosa,73294,73292,73236,73228,69459,69458,202423,lamellosa,Nucella,Muricidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Species found
Lottia pelta,567823,69731,204927,566854,69459,69458,202423,pelta,Lottia,Lottiidae,Patellogastropoda,Gastropoda,Mollusca,Animalia,Species found
Lottia digitalis,567816,69731,204927,566854,69459,69458,202423,digitalis,Lottia,Lottiidae,Patellogastropoda,Gastropoda,Mollusca,Animalia,Species found
Lottia paradigitalis strigatella,0,69731,204927,566854,69459,69458,202423,,Lottia,Lottiidae,Patellogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Lottia scutum,0,69731,204927,566854,69459,69458,202423,,Lottia,Lottiidae,Patellogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Onchidella borealis,78762,78761,78760,566857,69459,69458,202423,borealis,Onchidella,Onchidiidae,Systellommatophora,Gastropoda,Mollusca,Animalia,Species found
Katharina tunicata,78979,78978,78965,914233,78807,69458,202423,tunicata,Katharina,Mopaliidae,Chitonida,Polyplacophora,Mollusca,Animalia,Species found
Mopalia,0,78980,78965,914233,78807,69458,202423,,Mopalia,Mopaliidae,Chitonida,Polyplacophora,Mollusca,Animalia,Genus found
Nereis,0,65902,65870,914225,914194,64357,202423,,Nereis,Nereididae,Phyllodocida,Errantia,Annelida,Animalia,Genus found
Emplectonema,0,57494,57493,57491,57490,57411,202423,,Emplectonema,Emplectonematidae,Hoplonemertea,Enopla,Nemertea,Animalia,Genus found
Littorina sitkana,70397,70395,70394,566851,69459,69458,202423,sitkana,Littorina,Littorinidae,Neotaenioglossa,Gastropoda,Mollusca,Animalia,Species found
Littorina scutulata,70401,70395,70394,566851,69459,69458,202423,scutulata,Littorina,Littorinidae,Neotaenioglossa,Gastropoda,Mollusca,Animalia,Species found
Strongylocentrotus purpuratus,157975,157968,157965,157939,157821,156857,202423,purpuratus,Strongylocentrotus,Strongylocentrotidae,Echinoida,Echinoidea,Echinodermata,Animalia,Species found
Strongylocentrotus droebachensis,0,157968,157965,157939,157821,156857,202423,,Strongylocentrotus,Strongylocentrotidae,Echinoida,Echinoidea,Echinodermata,Animalia,Genus found
Strongylocentrotus franciscanus,157971,157968,157965,157939,157821,156857,202423,franciscanus,Strongylocentrotus,Strongylocentrotidae,Echinoida,Echinoidea,Echinodermata,Animalia,Species found
Leptasterias hexactis,157234,157225,157212,157197,156862,156857,202423,hexactis,Leptasterias,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Animalia,Species found
Amphipoda,0,0,0,0,0,0,0,,,,Amphipoda,Malacostraca,Arthropoda,Animalia,From EOL
Amphissa columbiana,73535,73534,73532,73228,69459,69458,202423,columbiana,Amphissa,Columbellidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Species found
Idotea,0,92588,92564,92120,89787,82696,202423,,Idotea,Idoteidae,Isopoda,Malacostraca,Arthropoda,Animalia,Genus found
Cirolana Small Isopod,0,92226,92225,92120,89787,82696,202423,,Cirolana,Cirolanidae,Isopoda,Malacostraca,Arthropoda,Animalia,Genus found
Chironomidae,0,0,127917,118831,99208,82696,202423,,,Chironomidae,Diptera,Insecta,Arthropoda,Animalia,Family found
Tonicella lineata,78899,78897,78842,914233,78807,69458,202423,lineata,Tonicella,Ischnochitonidae,Chitonida,Polyplacophora,Mollusca,Animalia,Species found
Calliostoma ligatum,69798,69795,566888,69461,69459,69458,202423,ligatum,Calliostoma,Calliostomatidae,Archaeogastropoda,Gastropoda,Mollusca,Animalia,Species found
Hermit Crab,0,0,0,0,0,0,0,,,,Decapoda,Malacostraca,Arthropoda,Animalia,From EOL
Sipunculid,0,0,0,0,0,0,0,,,,,,Sipuncula,Animalia,From EOL
Cucumaria,0,158191,158190,158142,158140,156857,202423,,Cucumaria,Cucumariidae,Dendrochirotida,Holothuroidea,Echinodermata,Animalia,Genus found
Ocenebra interfossa,73243,73242,73236,73228,69459,69458,202423,interfossa,Ocenebra,Muricidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Species found
Petrolisthes Porcelin Crab,0,98059,98058,95599,89787,82696,202423,,Petrolisthes,Porcellanidae,Decapoda,Malacostraca,Arthropoda,Animalia,Genus found
Tegula funebrialis,0,69948,69794,69461,69459,69458,202423,,Tegula,Trochidae,Archaeogastropoda,Gastropoda,Mollusca,Animalia,Genus found
Lacuna vincta,70381,70370,70394,566851,69459,69458,202423,vincta,Lacuna,Littorinidae,Neotaenioglossa,Gastropoda,Mollusca,Animalia,Species found
Ophiuroidea,0,0,0,0,0,0,0,,,,,Ophiuroidea,Echinodermata,Animalia,From EOL
Notoplana,0,0,0,0,0,0,0,,Notoplana,Notoplanidae,Polycladida,Rhabditophora,Platyhelminthes,Animalia,From EOL
Skinny annelid,0,0,0,0,0,0,0,,,,,,Annelida,Animalia,From EOL
Lepidochitona,0,78878,78842,914233,78807,69458,202423,,Lepidochitona,Ischnochitonidae,Chitonida,Polyplacophora,Mollusca,Animalia,Genus found
Discodoris Dialula sandiegensis,0,78189,78282,78156,69459,69458,202423,,Discodoris,Discodorididae,Nudibranchia,Gastropoda,Mollusca,Animalia,Genus found
Alia,0,202538,73532,73228,69459,69458,202423,,Alia,Columbellidae,Neogastropoda,Gastropoda,Mollusca,Animalia,Genus found
